scope,factor,factor_column,blockchain,level,metric,statistic,aggregation,total_configuration_cells,contributing_configuration_cells,metric_observations,minimum_n_metric,maximum_n_metric,point_estimate,ci_lower,ci_upper
six_workloads,topology,mode,Solana,hypercube,tps_positive_commit,sample_std_pct,median,12,7,91,12,14,40.94715847860003,28.78347694713791,51.18589218791961
six_workloads,topology,mode,Solana,scale-free,tps_positive_commit,iqr_pct,mean,12,7,49,2,14,53.098296807799,28.309761893962754,65.48104098425124
six_workloads,topology,mode,Solana,scale-free,tps_positive_commit,iqr_pct,median,12,7,49,2,14,44.72361809045228,17.11456115506472,53.96353561749903
six_workloads,topology,mode,Solana,scale-free,tps_positive_commit,sample_std_pct,mean,12,7,49,2,14,61.2125267641645,29.874839042655104,62.56494211224374
six_workloads,topology,mode,Solana,scale-free,tps_positive_commit,sample_std_pct,median,12,7,49,2,14,59.70300221382545,24.85054005776677,63.2487472619123
six_workloads,topology,mode,Solana,torus,tps_positive_commit,iqr_pct,mean,12,7,87,10,15,60.806503060758075,39.01432477889643,74.59181285141545
six_workloads,topology,mode,Solana,torus,tps_positive_commit,iqr_pct,median,12,7,87,10,15,65.0357339197361,27.497669551031304,76.42653931427506
six_workloads,topology,mode,Solana,torus,tps_positive_commit,sample_std_pct,mean,12,7,87,10,15,44.193027805398756,35.418958519947495,50.20563422160873
six_workloads,topology,mode,Solana,torus,tps_positive_commit,sample_std_pct,median,12,7,87,10,15,41.13391680827522,30.238752360633963,49.31634392559347
six_workloads,workload,workload,Algorand,DDoS,tps_positive_commit,iqr_pct,mean,10,10,131,13,14,15.122448013126382,10.643454103313134,21.67343581324507
six_workloads,workload,workload,Algorand,DDoS,tps_positive_commit,iqr_pct,median,10,10,131,13,14,13.145376575550355,6.8692591624037656,19.218463964294536
six_workloads,workload,workload,Algorand,DDoS,tps_positive_commit,sample_std_pct,mean,10,10,131,13,14,13.823488790240926,11.047789437323035,15.163895385953076
six_workloads,workload,workload,Algorand,DDoS,tps_positive_commit,sample_std_pct,median,10,10,131,13,14,11.124171006911673,8.191776761859522,13.035808146239235
