blockchain,mode,workload,cores,ram,secondaries,dataset,link_strategy,network_size,dynamic,metric,statistic,n_metric,point_estimate,ci_lower,ci_upper
Algorand,scale-free,FIFA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,17,71.98571455694032,47.8398129865819,93.62858902128896
Algorand,scale-free,FIFA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,11,128.5697538100821,39.438587845468184,169.2542028558129
Algorand,scale-free,FIFA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,11,71.14994850330066,44.0263912077728,98.36636385852546
Algorand,scale-free,GAFAM,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,59.16000779575131,2.059259303420215,99.70859651758057
Algorand,scale-free,GAFAM,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,46.24362673909573,27.56967508521485,62.558522848824474
Algorand,scale-free,GAFAM,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,54.662561775905374,16.227012157165486,143.52811761076674
Algorand,scale-free,GAFAM,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,45.62823479705921,19.548072111668336,70.3865433616528
Algorand,scale-free,Gaming,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,12,74.63760158137494,19.513592936099954,93.02753831135213
Algorand,scale-free,Gaming,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,12,39.43815871794188,24.339916593603775,48.68530475589563
Algorand,scale-free,Gaming,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,31.422246317881992,7.501856949493917,130.14573437840977
Algorand,scale-free,Gaming,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,39.743436115768915,12.071322469887466,65.461416235383
Algorand,scale-free,PayPal,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,0.2623824324869818,0.05245107928183561,0.31498606792393063
Algorand,scale-free,PayPal,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,0.13807476992279719,0.09814846669991775,0.15652353690425114
Algorand,scale-free,PayPal,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,0.5244684713761246,0.0,0.7343743695274868
Algorand,scale-free,PayPal,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,0.3408269134706593,0.1893981934941717,0.43730901476683914
Algorand,scale-free,VISA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,7.438904871802976,2.660441460974498,9.786913350459054
Algorand,scale-free,VISA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,4.285563560114823,3.0268964588726446,4.98674879145105
Algorand,scale-free,VISA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,7.882673784379727,3.2046401026310085,24.64844970992267
Algorand,scale-free,VISA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,11.023684327435305,5.477323989653867,15.43715663744002
Algorand,torus,DDoS,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,7.2679933798893925,1.1443319591321728,13.942717529693889
Algorand,torus,DDoS,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,5.740940252715506,2.5790884620708128,7.158330691668523
Algorand,torus,DDoS,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,23.645173313455093,4.459191129424965,29.88818467052779
Algorand,torus,DDoS,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,13.867396740046487,8.09661447614412,17.695159091354338
Algorand,torus,FIFA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,56.84994861253855,20.29236683932634,117.95356414157094
Algorand,torus,FIFA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,49.305463684700776,25.71951544484668,73.75438042971473
Algorand,torus,FIFA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,67.87894531757371,16.402859888332703,126.40300757024352
Algorand,torus,FIFA,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,58.92304411725297,35.66355628106913,77.88788676529008
Algorand,torus,GAFAM,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,14.25959780621572,2.021407108112635,83.7187264492294
