blockchain,mode,workload,cores,ram,secondaries,dataset,link_strategy,network_size,dynamic,n_observed,n_submitted,n_positive_commit,n_zero_commit,n_no_submission,n_inconsistent,n_tps_valid,n_tps_censored,n_tps_point_valid,n_latency_valid,n_energy_valid_observed,n_energy_valid_positive_commit,n_network_valid_observed,service_regime_derived,panel_row,panel_column,matrix_row,matrix_column,display_count
Algorand,scale-free,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,1,3,5,13/0/0
Algorand,torus,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,0,4,0,13/0/0
Algorand,torus,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,1,4,0,13/0/0
Algorand,torus,FIFA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,0,4,1,13/0/0
Algorand,torus,FIFA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,1,4,1,13/0/0
Algorand,torus,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,0,4,3,13/0/0
Algorand,torus,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,1,4,3,13/0/0
Algorand,torus,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,0,4,2,13/0/0
Algorand,torus,Gaming,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,1,4,2,13/0/0
Algorand,torus,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,0,4,4,13/0/0
Algorand,torus,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,1,4,4,13/0/0
Algorand,torus,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,0,4,5,13/0/0
Algorand,torus,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,0,1,4,5,13/0/0
Diem,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,0,0,0,13/0/0
Diem,fat-tree,DDoS,8,16,10,2023,hop,40 nodes,0,20,20,20,0,0,0,20,0,20,20,20,20,20,all_positive_commit,1,1,0,0,20/0/0
Diem,fat-tree,FIFA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,0,0,1,13/0/0
Diem,fat-tree,FIFA,8,16,10,2023,hop,40 nodes,0,21,21,21,0,0,0,21,0,21,21,21,21,21,all_positive_commit,1,1,0,1,21/0/0
Diem,fat-tree,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,0,0,3,13/0/0
Diem,fat-tree,GAFAM,8,16,10,2023,hop,40 nodes,0,19,19,19,0,0,0,19,0,19,19,19,19,19,all_positive_commit,1,1,0,3,19/0/0
Diem,fat-tree,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,0,0,2,13/0/0
Diem,fat-tree,Gaming,8,16,10,2023,hop,40 nodes,0,25,25,25,0,0,0,25,0,25,25,25,25,25,all_positive_commit,1,1,0,2,25/0/0
