scope,factor,level,metric,statistic,aggregation,configuration_count,primary_value,defined_repetitions,median,q025,q975,minimum,maximum
six_workloads,network_size,40 nodes,energy_positive_commit,delta_max_pct,median,150,22.152391865773176,5000,20.220647587419627,19.112149547195607,21.265793602521548,18.09938942184529,22.450183713539886
six_workloads,network_size,40 nodes,energy_positive_commit,range_abs,mean,150,7.535206971759923,5000,6.806540804552273,6.572285341589004,7.0498256014840734,6.304109121677459,7.257038788391126
six_workloads,network_size,40 nodes,energy_positive_commit,range_abs,median,150,7.3172538140530445,5000,6.48457600874917,6.040011528575947,6.760558261569891,5.817487959579275,7.00309033430781
six_workloads,network_size,40 nodes,energy_positive_commit,wcd_abs,mean,150,4.216340053540971,5000,3.8591166959602403,3.71606801601737,4.0070971757725,3.5217652878809576,4.0983165533633725
six_workloads,network_size,40 nodes,energy_positive_commit,wcd_abs,median,150,4.015816658517154,5000,3.6087419627932693,3.3801424979609482,3.854840252583367,3.223987802938037,4.035292816315032
six_workloads,network_size,40 nodes,energy_positive_commit,wcd_pct,mean,150,24.9528906754843,5000,22.852300408010876,22.02570241517467,23.72505595575342,21.099187286748315,24.237662675977614
six_workloads,network_size,40 nodes,energy_positive_commit,wcd_pct,median,150,25.62488776667926,5000,23.33588164830354,22.166096420457215,24.50474344106563,21.169626250203027,25.539625364044536
legacy_three_workloads,blockchain,Algorand,energy_positive_commit,mean,mean,30,19.826396509119704,5000,19.82362081614345,19.641129171756763,19.99737515143113,19.470948550310823,20.176120874195412
legacy_three_workloads,blockchain,Algorand,energy_positive_commit,mean,median,30,22.064421229403536,5000,21.877843173011144,21.544243398847044,22.21649047497663,21.26616087436193,22.455455901609056
legacy_three_workloads,blockchain,Algorand,energy_positive_commit,iqr_pct,mean,30,15.956732349963769,5000,15.076016732653182,13.496728764961315,16.665223212102692,12.221218172561729,17.659204315601723
legacy_three_workloads,blockchain,Algorand,energy_positive_commit,iqr_pct,median,30,14.7530945913227,5000,14.326385826334006,12.06002760662087,16.146767876763167,10.742039474786178,18.544874245040795
legacy_three_workloads,blockchain,Algorand,energy_positive_commit,sample_std_pct,mean,30,13.64725716364904,5000,13.507680248168299,12.727307691328573,14.2122534174907,11.813811231750018,14.782682897138278
legacy_three_workloads,blockchain,Algorand,energy_positive_commit,sample_std_pct,median,30,12.912908318747771,5000,13.211756811724179,12.272451653070819,14.020354274964356,11.539533196429296,14.976207704917169
legacy_three_workloads,blockchain,Algorand,energy_positive_commit,delta_min_pct,mean,30,-22.428639555713648,5000,-19.946689500354715,-21.29171396330153,-18.375138351309687,-22.335585848036906,-16.423598589582845
legacy_three_workloads,blockchain,Algorand,energy_positive_commit,delta_min_pct,median,30,-24.13536401716973,5000,-20.05634920566696,-22.770504653835346,-17.51757861696743,-24.03377588454164,-15.363975611890098
legacy_three_workloads,blockchain,Algorand,energy_positive_commit,delta_max_pct,mean,30,24.53230689897693,5000,21.93942697387258,20.154049962972294,23.41846799807108,18.505927405670313,24.672120034917224
legacy_three_workloads,blockchain,Algorand,energy_positive_commit,delta_max_pct,median,30,23.785933987728697,5000,21.37524128214053,18.874149800045117,23.84519603152242,16.630499567618987,25.938382797314816
legacy_three_workloads,blockchain,Algorand,energy_positive_commit,range_abs,mean,30,9.261953534664462,5000,8.23365683246533,7.659929587550256,8.722489587020714,6.975409694081156,9.041908095935495
legacy_three_workloads,blockchain,Algorand,energy_positive_commit,range_abs,median,30,9.077230174915877,5000,7.893995525297185,7.209066673092111,8.561846895156373,6.083305572948168,9.077230174915877
legacy_three_workloads,blockchain,Algorand,energy_positive_commit,wcd_abs,mean,30,5.383548628764597,5000,4.795852433526695,4.403449259035471,5.119207461279396,4.053555905752192,5.349185429338886
legacy_three_workloads,blockchain,Algorand,energy_positive_commit,wcd_abs,median,30,5.2595677439420685,5000,4.635192747779977,4.121278551526888,5.155735036736504,3.623334485571724,5.761050371248913
legacy_three_workloads,blockchain,Algorand,energy_positive_commit,wcd_pct,mean,30,27.158879930959515,5000,24.2575157030646,22.46943775379488,25.79957585437063,20.85964905104846,27.15135888096119
legacy_three_workloads,blockchain,Algorand,energy_positive_commit,wcd_pct,median,30,26.656218630616483,5000,24.461336269627413,21.970145863328426,26.1772738316241,19.688870824981606,27.73505419673528
legacy_three_workloads,blockchain,Diem,energy_positive_commit,mean,mean,30,19.93071993636553,5000,19.92926545129612,19.749649598698095,20.113582797629086,19.528400664045254,20.25864502059413
legacy_three_workloads,blockchain,Diem,energy_positive_commit,mean,median,30,22.03120199776769,5000,21.999465374148997,21.622398366971286,22.255288073661198,21.348555881157914,22.5390388541485
legacy_three_workloads,blockchain,Diem,energy_positive_commit,iqr_pct,mean,30,16.118666627153846,5000,15.320295040821733,13.703443436632782,16.978767354903233,12.101932544520231,18.796144213348736
legacy_three_workloads,blockchain,Diem,energy_positive_commit,iqr_pct,median,30,15.961938520411364,5000,13.679662996926824,11.669323533954557,15.978863642154646,10.600202954756607,17.87041425364407
legacy_three_workloads,blockchain,Diem,energy_positive_commit,sample_std_pct,mean,30,12.869730815026704,5000,12.766497812954036,12.059010044713848,13.44852723686027,11.564340087036362,13.84659621629844
legacy_three_workloads,blockchain,Diem,energy_positive_commit,sample_std_pct,median,30,12.109537780862492,5000,11.885383976349729,10.948228600636382,12.847833137512543,10.151502387412933,13.61029645333609
legacy_three_workloads,blockchain,Diem,energy_positive_commit,delta_min_pct,mean,30,-21.830261858622357,5000,-19.70045020488522,-20.861102543735726,-18.294837489317135,-21.496814987807657,-17.264683967410047
legacy_three_workloads,blockchain,Diem,energy_positive_commit,delta_min_pct,median,30,-21.678209302493634,5000,-18.89471825578399,-21.414532974522153,-16.1833352820676,-23.177837599703782,-14.72148484147003
legacy_three_workloads,blockchain,Diem,energy_positive_commit,delta_max_pct,mean,30,21.83762283366241,5000,19.200811685591923,17.6889912141576,20.719716571229828,16.360882101296205,21.958838896134992
legacy_three_workloads,blockchain,Diem,energy_positive_commit,delta_max_pct,median,30,19.929732092469614,5000,18.00661781076426,16.106644406611498,19.675746647538556,14.911972743721872,20.87320985288041
legacy_three_workloads,blockchain,Diem,energy_positive_commit,range_abs,mean,30,8.578442916869495,5000,7.636248878032106,7.171132464811872,8.030761714412625,6.862344672198831,8.334624799028862
legacy_three_workloads,blockchain,Diem,energy_positive_commit,range_abs,median,30,8.50978929337528,5000,7.509266588534206,6.925063512565599,8.084978384287181,6.533699301404871,8.50978929337528
legacy_three_workloads,blockchain,Diem,energy_positive_commit,wcd_abs,mean,30,4.800892674956854,5000,4.3475022998323265,4.066040554653112,4.590687218196989,3.8234235182987018,4.794962059760992
legacy_three_workloads,blockchain,Diem,energy_positive_commit,wcd_abs,median,30,4.5726616378687845,5000,4.192946769679409,3.8430805189867683,4.5202848931343045,3.4160601249832965,4.787024846905977
legacy_three_workloads,blockchain,Diem,energy_positive_commit,wcd_pct,mean,30,24.48154425251262,5000,22.171379768753468,20.71893606842071,23.48006726224879,19.42522508498282,24.27532422562473
legacy_three_workloads,blockchain,Diem,energy_positive_commit,wcd_pct,median,30,23.479539092859767,5000,21.07893328636343,19.016972984380722,23.191983577997018,16.565040467519296,24.788257601817705
legacy_three_workloads,blockchain,Ethereum,energy_positive_commit,mean,mean,30,19.81813966585546,5000,19.818869952531983,19.605181358594066,20.02155892882041,19.429239565356067,20.178916609471184
legacy_three_workloads,blockchain,Ethereum,energy_positive_commit,mean,median,30,21.97437777244587,5000,21.830814008628614,21.413451351662427,22.192439076940516,21.065671192527073,22.608668766427478
legacy_three_workloads,blockchain,Ethereum,energy_positive_commit,iqr_pct,mean,30,18.255363192478193,5000,17.557881917700556,15.864039169024748,19.264336452132564,14.380519121889645,20.474447872424808
legacy_three_workloads,blockchain,Ethereum,energy_positive_commit,iqr_pct,median,30,15.861765826188513,5000,16.26845691837361,13.966672140733369,18.715580758395106,12.036818068483917,21.674587357225178
legacy_three_workloads,blockchain,Ethereum,energy_positive_commit,sample_std_pct,mean,30,14.37241014389975,5000,14.277610388619571,13.49917613567494,14.933431425850422,12.729997679369124,15.466986852325302
legacy_three_workloads,blockchain,Ethereum,energy_positive_commit,sample_std_pct,median,30,13.93346089245971,5000,13.779567277650564,12.744764875627029,14.70477030424557,11.749153217419572,15.577480495644966
legacy_three_workloads,blockchain,Ethereum,energy_positive_commit,delta_min_pct,mean,30,-24.442715777366416,5000,-21.998479740935178,-23.260804195351607,-20.453684595893783,-24.20226568162941,-19.144084900632553
legacy_three_workloads,blockchain,Ethereum,energy_positive_commit,delta_min_pct,median,30,-23.161304788799985,5000,-21.265553314452873,-23.085163794237726,-19.075404217895475,-24.561117208166383,-16.831654016069457
legacy_three_workloads,blockchain,Ethereum,energy_positive_commit,delta_max_pct,mean,30,23.54732109667875,5000,20.99844198655792,19.517077288096324,22.424797268353533,18.145275131814376,23.63525936865904
legacy_three_workloads,blockchain,Ethereum,energy_positive_commit,delta_max_pct,median,30,22.92542146734467,5000,20.12319300443576,17.737452682009057,22.242626131425567,15.549285762656668,24.138283735443128
legacy_three_workloads,blockchain,Ethereum,energy_positive_commit,range_abs,mean,30,9.566987650891045,5000,8.547562777762721,8.066036737221067,8.983254168997258,7.604063178610152,9.314282235340503
legacy_three_workloads,blockchain,Ethereum,energy_positive_commit,range_abs,median,30,9.184707330385688,5000,8.113767829370719,7.505527349102353,8.844719371432387,6.833291129774763,9.184707330385688
legacy_three_workloads,blockchain,Ethereum,energy_positive_commit,wcd_abs,mean,30,5.3776336236759645,5000,4.889715492735235,4.568303966527226,5.161839225451365,4.250777621038848,5.33759547137211
legacy_three_workloads,blockchain,Ethereum,energy_positive_commit,wcd_abs,median,30,5.265660682254569,5000,4.64142430537031,4.112073462928715,5.124343282491137,3.6986174907861953,5.4295828115639235
legacy_three_workloads,blockchain,Ethereum,energy_positive_commit,wcd_pct,mean,30,26.898836639404244,5000,24.529156869020408,22.927970727864135,25.873373406211694,21.271602009999146,26.875203210213826
legacy_three_workloads,blockchain,Ethereum,energy_positive_commit,wcd_pct,median,30,25.292291696432233,5000,23.622602753162564,21.853199114984356,25.40678853922557,19.41054213726925,27.464669848126263
legacy_three_workloads,blockchain,Quorum,energy_positive_commit,mean,mean,30,19.808177506647908,5000,19.82322645558854,19.53270464977681,20.143426188561357,19.309681851475776,20.338110035429278
legacy_three_workloads,blockchain,Quorum,energy_positive_commit,mean,median,30,21.896637198875965,5000,21.77418565818332,21.265175931022394,22.191593917239633,20.822454681449788,22.492175115081064
legacy_three_workloads,blockchain,Quorum,energy_positive_commit,iqr_pct,mean,30,15.857197088286734,5000,14.877087202302313,12.954359350282388,16.83570994755818,11.784902959110566,18.116440387655967
legacy_three_workloads,blockchain,Quorum,energy_positive_commit,iqr_pct,median,30,16.95946637830475,5000,15.221007653092894,11.430866808615654,18.08968009606964,9.567816799672165,20.697754716723612
legacy_three_workloads,blockchain,Quorum,energy_positive_commit,sample_std_pct,mean,30,13.81203615399055,5000,13.464331934030659,12.23475188488009,14.528081283656377,11.475885029027053,15.470957297807482
legacy_three_workloads,blockchain,Quorum,energy_positive_commit,sample_std_pct,median,30,13.529362483779796,5000,13.390994529997784,12.182710866344118,14.63059276657209,11.283285111295479,15.922240281377075
