blockchain,mode,workload,network_size,metric,eligible_observations,eligible_hash_batches,hash_batches_with_at_least_two_eligible_executions,total_sum_of_squares,within_hash_sum_of_squares,between_hash_sum_of_squares,decomposition_identity_error,between_hash_fraction,decomposition_available,strict_sensitivity
Ethereum,hypercube,GAFAM,10 nodes,Latency,13,3,2,475.007369230769,468.16315999999983,6.8442092307692395,1.0125233984581428e-13,0.014408638000401574,True,True
Ethereum,hypercube,GAFAM,40 nodes,Latency,13,3,2,251.3394307692308,240.05315999999996,11.286270769230867,2.842170943040401e-14,0.04490449721593204,True,True
Ethereum,hypercube,Gaming,10 nodes,Latency,13,3,2,4873.686507692308,3329.9446399999997,1543.741867692308,0.0,0.3167503419138196,True,True
Ethereum,hypercube,Gaming,40 nodes,Latency,13,3,2,3837.32923076923,2387.3042899999996,1450.0249407692293,1.1368683772161603e-12,0.3778734775067913,True,True
Ethereum,hypercube,PayPal,10 nodes,Latency,14,4,2,4532.085921428572,3000.57205,1531.513871428572,2.2737367544323206e-13,0.3379269276840672,True,True
Ethereum,hypercube,PayPal,40 nodes,Latency,13,3,2,210.28512307692353,181.79164000000037,28.493483076922985,1.7053025658242404e-13,0.13549928145178344,True,True
Ethereum,hypercube,VISA,10 nodes,Latency,13,3,2,1454.7771692307695,747.4667400000001,707.3104292307694,0.0,0.48619846681039686,True,True
Ethereum,hypercube,VISA,40 nodes,Latency,13,3,2,603.185876923077,348.5704499999998,254.6154269230758,1.3642420526593924e-12,0.4221176865444851,True,True
Ethereum,scale-free,DDoS,10 nodes,Latency,14,4,2,2920.1326357142857,2379.22669,540.9059457142863,5.684341886080801e-13,0.18523334834137656,True,True
Ethereum,scale-free,DDoS,40 nodes,Latency,13,3,2,245.27239999999995,232.61304999999993,12.659349999999986,3.197442310920451e-14,0.05161343061836549,True,True
Ethereum,scale-free,FIFA,10 nodes,Latency,13,3,2,339.60532307692307,318.92954,20.67578307692308,1.7763568394002505e-14,0.06088179917085653,True,True
Ethereum,scale-free,FIFA,40 nodes,Latency,13,3,2,330.4354307692307,190.39588999999995,140.0395407692308,2.842170943040401e-14,0.4238030420745998,True,True
Ethereum,scale-free,GAFAM,10 nodes,Latency,13,3,2,961.0335692307692,492.0070399999999,469.0265292307698,5.115907697472721e-13,0.4880438563724555,True,True
